,wer,cer
Spanish,0.09095528455284553,0.032305218535301855
Vietnamese,0.1461959224266534,0.05360173486705638
Chinese,0.10434569113675424,0.03462112728630086
Korean,0.06883697813121273,0.019529033478343106
Arabic,0.09824651882413615,0.03192064037715464
Hindi,0.060897435897435896,0.01832936896599972
