,task,loss,length
372,0,23.91680335998535,4
373,0,21.13311195373535,5
374,0,14.610556602478027,5
375,1,78.70902252197266,46
376,1,22.210437774658203,40
377,1,39.236663818359375,24
378,0,8.17895793914795,3
379,1,48.37211990356445,53
380,1,64.12012481689453,36
381,1,62.363250732421875,41
382,0,15.119359970092773,4
383,0,23.235538482666016,4
384,1,79.78385162353516,60
385,1,54.11379623413086,45
386,1,16.980192184448242,39
387,0,18.561189651489258,3
388,0,31.160118103027344,7
389,0,99.12020111083984,35
390,1,66.52647399902344,29
391,1,50.46812057495117,40
392,1,45.89515686035156,50
393,1,34.6080207824707,65
394,1,73.5384521484375,74
395,0,30.485008239746094,2
396,0,6.086667060852051,4
397,0,19.80645751953125,6
398,1,35.522281646728516,43
399,0,20.085721969604492,4
400,1,74.2149429321289,61
401,1,22.058364868164062,49
402,1,12.412361145019531,33
403,0,106.39268493652344,38
404,1,23.974102020263672,18
405,1,74.52304077148438,52
406,1,36.37647247314453,42
407,0,21.11368751525879,7
408,1,22.7432861328125,21
409,1,34.770355224609375,55
410,0,22.553709030151367,7
411,1,105.92291259765625,51
412,1,197.97581481933594,59
413,1,523.5546264648438,56
414,1,348.9080810546875,43
415,1,337.144287109375,36
416,1,201.35365295410156,62
417,1,51.26546859741211,49
418,1,380.3742370605469,42
419,0,12.276956558227539,3
420,0,36.25852584838867,6
421,1,325.3153991699219,58
422,1,444.59429931640625,76
423,1,439.9483642578125,56
424,1,443.7550354003906,42
425,0,43.931739807128906,6
426,1,68.98388671875,43
427,1,433.50054931640625,46
428,1,192.46307373046875,23
429,1,370.81317138671875,37
430,1,465.1642150878906,53
431,0,14.154406547546387,2
432,1,385.0742492675781,53
433,0,47.08042526245117,7
434,1,562.6717529296875,52
435,1,519.3287353515625,55
436,0,31.823339462280273,5
437,1,124.26213073730469,60
438,1,431.39971923828125,53
439,1,642.8352661132812,66
440,1,179.59698486328125,52
441,0,83.40155029296875,11
442,1,585.448974609375,68
443,0,49.826690673828125,8
444,1,386.5224304199219,41
445,1,428.6761779785156,52
446,1,197.97581481933594,59
447,1,523.5546264648438,56
448,1,348.9080810546875,43
449,1,337.144287109375,36
450,1,201.35365295410156,62
451,1,51.26546859741211,49
452,1,380.3742370605469,42
453,0,12.276956558227539,3
454,0,36.25852584838867,6
455,1,325.3153991699219,58
456,1,444.59429931640625,76
457,1,439.9483642578125,56
458,1,443.7550354003906,42
459,0,43.931739807128906,6
460,1,68.98388671875,43
461,1,433.50054931640625,46
462,1,192.46307373046875,23
463,1,370.81317138671875,37
464,1,465.1642150878906,53
465,0,14.154406547546387,2
466,1,385.0742492675781,53
467,0,47.08042526245117,7
468,1,562.6717529296875,52
469,1,519.3287353515625,55
470,0,31.823339462280273,5
471,1,124.26213073730469,60
472,1,431.39971923828125,53
473,1,642.8352661132812,66
474,1,179.59698486328125,52
475,0,83.40155029296875,11
476,1,585.448974609375,68
477,0,49.826690673828125,8
478,1,386.5224304199219,41
479,1,428.6761779785156,52
