,wer,cer
Korean,0.03650171484566389,0.01126157568988785
Vietnamese,0.0982233502538071,0.037165749589728736
Chinese,0.07807433275130955,0.028005271580532808
Hindi,0.03459513662572073,0.01036096256684492
Spanish,0.06681852695520121,0.021316254839172204
Arabic,0.06194239102727504,0.018583212032993693
