,wer,cer
Korean,0.05584905660377359,0.017513555011755673
Spanish,0.07317073170731707,0.026379012108399002
Hindi,0.05203171456888008,0.016977128035840602
Chinese,0.09753116597408946,0.03620333896079535
Arabic,0.1023051023051023,0.03453635789575946
Vietnamese,0.13284132841328414,0.05078402577099815
