,wer,cer
Korean,0.01935325820676139,0.005211968914328261
Vietnamese,0.06116751269035533,0.019210348489236414
Chinese,0.04140683462210028,0.011955191565471148
Hindi,0.023063424417147156,0.00596829640947288
Spanish,0.039230574538091624,0.012283133393872771
Arabic,0.029569207239357635,0.008636584182435712
