,wer,cer
2.333,0.5990338164251208,0.35728744939271256
8,0.23466666666666666,0.10292580982236155
5.333,0.5740740740740741,0.3593155893536122
1.666,0.65625,0.3586206896551724
2,0.7096774193548387,0.3783783783783784
