,wer,cer
Chinese,0.07209876543209877,0.02338137940748392
Spanish,0.05314505776636714,0.016375706909269733
Korean,0.0319385986630354,0.008509046706250877
Hindi,0.02991026919242273,0.008337280909521554
Arabic,0.052417302798982185,0.016492631989850688
Vietnamese,0.08195902048975512,0.025846997117610924
