,wer,cer
Arabic,0.0648578811369509,0.021904336164506034
Vietnamese,0.09939759036144578,0.03740541569504592
Korean,0.042679900744416875,0.012723488790086085
Spanish,0.06155034766932784,0.019915480643124303
Hindi,0.04269833249115715,0.014147538617005918
Chinese,0.0801322818621216,0.027406417112299464
